number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
43,341.1720913639863,2024-04-04 17:13:40.240788,2024-04-04 17:15:15.466602,0 days 00:01:35.225814,True,19,1,3,224,COMPLETE
44,341.2783152806978,2024-04-04 17:13:49.072931,2024-04-04 17:15:34.353247,0 days 00:01:45.280316,True,19,1,3,230,COMPLETE
45,341.0082063286171,2024-04-04 17:13:49.633915,2024-04-04 17:15:24.465057,0 days 00:01:34.831142,True,19,1,4,226,COMPLETE
46,341.1597813188938,2024-04-04 17:13:52.871625,2024-04-04 17:15:26.837209,0 days 00:01:33.965584,True,18,1,4,230,COMPLETE
47,341.8373126253806,2024-04-04 17:13:53.793253,2024-04-04 17:15:24.187631,0 days 00:01:30.394378,True,28,3,4,222,COMPLETE
48,341.4746838804185,2024-04-04 17:13:54.148380,2024-04-04 17:15:22.935622,0 days 00:01:28.787242,True,28,3,4,231,COMPLETE
49,341.4642627120084,2024-04-04 17:14:01.831374,2024-04-04 17:15:23.064526,0 days 00:01:21.233152,True,17,3,4,233,COMPLETE
50,341.58321580331767,2024-04-04 17:14:02.868288,2024-04-04 17:15:27.089251,0 days 00:01:24.220963,True,17,3,3,233,COMPLETE
51,340.79255699788223,2024-04-04 17:15:00.464251,2024-04-04 17:16:21.422686,0 days 00:01:20.958435,True,37,3,4,211,COMPLETE
52,340.8129771822197,2024-04-04 17:15:01.177112,2024-04-04 17:16:37.904962,0 days 00:01:36.727850,True,27,2,2,236,COMPLETE
53,340.8852468001179,2024-04-04 17:15:05.122026,2024-04-04 17:16:30.063278,0 days 00:01:24.941252,True,17,1,3,210,COMPLETE
54,340.8181587148348,2024-04-04 17:15:08.798132,2024-04-04 17:16:35.759012,0 days 00:01:26.960880,True,27,2,3,210,COMPLETE
55,340.9790369466183,2024-04-04 17:15:15.469602,2024-04-04 17:16:56.350964,0 days 00:01:40.881362,True,27,2,3,237,COMPLETE
56,341.71821209307234,2024-04-04 17:15:22.938142,2024-04-04 17:16:43.946829,0 days 00:01:21.008687,True,17,2,3,209,COMPLETE
57,341.06154719789663,2024-04-04 17:15:23.068035,2024-04-04 17:16:47.438888,0 days 00:01:24.370853,True,26,2,3,208,COMPLETE
58,340.76175743684735,2024-04-04 17:15:24.190637,2024-04-04 17:16:55.229347,0 days 00:01:31.038710,True,36,2,3,213,COMPLETE
59,340.9151368364537,2024-04-04 17:15:24.470064,2024-04-04 17:16:48.793882,0 days 00:01:24.323818,True,37,2,2,211,COMPLETE
60,340.84056140999996,2024-04-04 17:15:26.842719,2024-04-04 17:16:53.229463,0 days 00:01:26.386744,True,36,2,3,210,COMPLETE
61,341.0808827520208,2024-04-04 17:15:27.093252,2024-04-04 17:16:50.129732,0 days 00:01:23.036480,True,37,2,2,204,COMPLETE
62,341.2432618224128,2024-04-04 17:15:34.355760,2024-04-04 17:16:59.981494,0 days 00:01:25.625734,True,27,2,2,209,COMPLETE
63,340.6306013472297,2024-04-04 17:16:21.425686,2024-04-04 17:17:43.259863,0 days 00:01:21.834177,True,38,2,2,209,COMPLETE
64,341.1065662080919,2024-04-04 17:16:30.070300,2024-04-04 17:17:57.415039,0 days 00:01:27.344739,True,35,1,3,211,COMPLETE
65,340.77394510043865,2024-04-04 17:16:35.761523,2024-04-04 17:17:59.600971,0 days 00:01:23.839448,True,39,2,2,211,COMPLETE
66,342.3931489493796,2024-04-04 17:16:37.908968,2024-04-04 17:17:51.707930,0 days 00:01:13.798962,True,35,3,3,211,COMPLETE
67,469.9469281940711,2024-04-04 17:16:43.953344,2024-04-04 17:18:38.560572,0 days 00:01:54.607228,False,36,3,2,189,COMPLETE
68,470.0079322354326,2024-04-04 17:16:47.442393,2024-04-04 17:18:25.370319,0 days 00:01:37.927926,False,34,3,2,192,COMPLETE
69,470.15203390340656,2024-04-04 17:16:48.798394,2024-04-04 17:18:35.669512,0 days 00:01:46.871118,False,30,3,2,198,COMPLETE
70,469.90082497105595,2024-04-04 17:16:50.132732,2024-04-04 17:18:38.455357,0 days 00:01:48.322625,False,33,3,2,187,COMPLETE
71,470.0141498199496,2024-04-04 17:16:53.232464,2024-04-04 17:18:37.388593,0 days 00:01:44.156129,False,34,3,2,190,COMPLETE
72,470.0339986349436,2024-04-04 17:16:55.232859,2024-04-04 17:18:38.330056,0 days 00:01:43.097197,False,34,3,2,191,COMPLETE
73,470.0399859366689,2024-04-04 17:16:56.353970,2024-04-04 17:18:36.096954,0 days 00:01:39.742984,False,40,3,2,191,COMPLETE
74,341.82617648413407,2024-04-04 17:16:59.984550,2024-04-04 17:18:02.554725,0 days 00:01:02.570175,True,40,3,2,188,COMPLETE
75,469.91256028384777,2024-04-04 17:17:43.262864,2024-04-04 17:19:37.892677,0 days 00:01:54.629813,False,39,3,2,187,COMPLETE
76,469.8465165915483,2024-04-04 17:17:51.710936,2024-04-04 17:19:53.756650,0 days 00:02:02.045714,False,40,3,2,195,COMPLETE
77,469.94163884919845,2024-04-04 17:17:57.418045,2024-04-04 17:19:51.772532,0 days 00:01:54.354487,False,40,3,2,192,COMPLETE
78,469.8520043711812,2024-04-04 17:17:59.603487,2024-04-04 17:19:36.991762,0 days 00:01:37.388275,False,40,3,2,188,COMPLETE
79,470.09063873990306,2024-04-04 17:18:02.557731,2024-04-04 17:19:46.964822,0 days 00:01:44.407091,False,40,3,2,191,COMPLETE
80,478.8930340488275,2024-04-04 17:18:25.372322,2024-04-04 17:20:45.135914,0 days 00:02:19.763592,False,40,2,2,218,COMPLETE
81,478.9326167010744,2024-04-04 17:18:35.672021,2024-04-04 17:20:47.547299,0 days 00:02:11.875278,False,39,2,2,217,COMPLETE
82,340.5482186441021,2024-04-04 17:18:36.099954,2024-04-04 17:20:06.262199,0 days 00:01:30.162245,True,43,2,2,220,COMPLETE
83,340.37972036061353,2024-04-04 17:18:37.390595,2024-04-04 17:20:05.788022,0 days 00:01:28.397427,True,43,2,2,218,COMPLETE
84,340.73875286758414,2024-04-04 17:18:38.334061,2024-04-04 17:19:46.979340,0 days 00:01:08.645279,True,43,2,2,165,COMPLETE
85,341.75883973916444,2024-04-04 17:18:38.459819,2024-04-04 17:19:48.402711,0 days 00:01:09.942892,True,43,2,2,171,COMPLETE
86,340.37055184845246,2024-04-04 17:18:38.563577,2024-04-04 17:20:05.928435,0 days 00:01:27.364858,True,42,2,2,216,COMPLETE
87,341.99351200035494,2024-04-04 17:19:36.995279,2024-04-04 17:21:04.225647,0 days 00:01:27.230368,True,43,2,10,217,COMPLETE
88,341.31967319144053,2024-04-04 17:19:37.896193,2024-04-04 17:21:05.008559,0 days 00:01:27.112366,True,43,2,10,216,COMPLETE
89,341.3360078538108,2024-04-04 17:19:46.983343,2024-04-04 17:21:20.436999,0 days 00:01:33.453656,True,44,2,2,217,COMPLETE
90,341.95073996253717,2024-04-04 17:19:46.990349,2024-04-04 17:20:54.175909,0 days 00:01:07.185560,True,43,2,10,170,COMPLETE
91,341.7501366322811,2024-04-04 17:19:48.406232,2024-04-04 17:21:15.376915,0 days 00:01:26.970683,True,47,2,8,217,COMPLETE
92,342.1319183098314,2024-04-04 17:19:51.777054,2024-04-04 17:21:14.366673,0 days 00:01:22.589619,True,47,2,10,217,COMPLETE
93,340.695861788099,2024-04-04 17:19:53.759161,2024-04-04 17:21:21.372124,0 days 00:01:27.612963,True,48,2,3,217,COMPLETE
94,341.4382767778852,2024-04-04 17:20:05.793536,2024-04-04 17:21:32.566764,0 days 00:01:26.773228,True,47,2,3,218,COMPLETE
95,341.368420333178,2024-04-04 17:20:05.931437,2024-04-04 17:21:28.317426,0 days 00:01:22.385989,True,48,2,10,216,COMPLETE
96,341.1817746504302,2024-04-04 17:20:06.265199,2024-04-04 17:21:34.742303,0 days 00:01:28.477104,True,48,2,5,218,COMPLETE
97,340.3816278302155,2024-04-04 17:20:45.143915,2024-04-04 17:21:57.625841,0 days 00:01:12.481926,True,46,2,3,218,COMPLETE
98,341.4734968669237,2024-04-04 17:20:47.552299,2024-04-04 17:21:52.894339,0 days 00:01:05.342040,True,47,2,10,202,COMPLETE
99,341.8667358535192,2024-04-04 17:20:54.179424,2024-04-04 17:21:41.387909,0 days 00:00:47.208485,True,46,2,9,142,COMPLETE
